index,problem_id,problem_dir,gurobi_status,obj_value,ground_truth,correct,error
120,NL4LP_173,173,2,960.0,960.0,1,
121,NL4LP_174,174,2,2500.0,2500.0,1,
122,NL4LP_175,175,2,29.0,29.0,1,
123,NL4LP_176,176,2,32.0,32.0,1,
124,NL4LP_179,179,2,16500.0,16500.0,1,
125,NL4LP_181,181,2,24.0,24.0,1,
126,NL4LP_182,182,2,670.0,670.0,1,
127,NL4LP_184,184,2,841.0,841.0,1,
128,NL4LP_185,185,2,9.0,9.0,1,
129,NL4LP_186,186,2,89.0,89.0,1,
130,NL4LP_188,188,2,23.5,22.75,0,
131,NL4LP_192,192,2,375.0,375.0,1,
132,NL4LP_194,194,2,20.0,17.71428571428571,0,
133,NL4LP_195,195,2,1520.0,890.0,0,
134,NL4LP_198,198,2,70.0,70.0,1,
135,NL4LP_199,199,2,37083.333333333336,37083.333333333336,1,
136,NL4LP_200,200,2,150000.0,150000.0,1,
137,NL4LP_201,201,2,16.0,16.0,1,
138,NL4LP_202,202,2,91140.0,85500.0,0,
139,NL4LP_205,205,2,648.0,648.0,1,
140,NL4LP_207,207,2,217.0,217.0,1,
141,NL4LP_208,208,2,4990.0,4990.0,1,
142,NL4LP_209,209,2,14000.0,14000.0,1,
143,NL4LP_210,210,2,256500.0,256500.0,1,
144,NL4LP_211,211,2,1070.0,1070.0,1,
145,NL4LP_212,212,2,46000.0,46000.0,1,
146,NL4LP_214,214,2,52.0,52.0,1,
147,NL4LP_216,216,2,300.0,300.0,1,
148,NL4LP_217,217,2,25.0,25.0,1,
149,NL4LP_220,220,2,670.0,670.0,1,
150,NL4LP_221,221,2,1080.0,1080.0,1,
151,NL4LP_222,222,2,25.0,25.0,1,
152,NL4LP_224,224,2,291.4,291.4,1,
153,NL4LP_225,225,2,1965.0,1965.0,1,
154,NL4LP_226,226,2,65.0,65.0,1,
155,NL4LP_227,227,2,10060.0,10060.0,1,
156,NL4LP_228,228,2,30.0,30.0,1,
157,NL4LP_230,230,2,330.0,330.0,1,
158,NL4LP_232,232,2,0.0,0.0,1,
159,NL4LP_233,233,2,72.0,72.0,1,
160,NL4LP_234,234,2,260.0,260.0,1,
161,NL4LP_238,238,3,,6.0,0,
162,NL4LP_240,240,2,48.0,48.0,1,
163,NL4LP_241,241,2,35.0,35.0,1,
164,NL4LP_242,242,2,26.0,26.0,1,
165,NL4LP_244,244,ERROR,,84.0,0,ValueError: Unknown constraint sense '<' in max_automatic_electric_jacks.
166,NL4LP_245,245,2,11.0,11.0,1,
167,NL4LP_246,246,2,98.0,100.34482758620689,0,
168,NL4LP_247,247,2,2250.0,2250.0,1,
169,NL4LP_248,248,2,100.0,100.0,1,
170,NL4LP_251,251,2,610.0,610.0,1,
171,NL4LP_252,252,2,316.0,316.0,1,
172,NL4LP_253,253,2,16666.666666666664,16666.666666666664,1,
173,NL4LP_254,254,2,29.0,29.0,1,
174,NL4LP_257,257,2,0.0,0.0,1,
175,NL4LP_259,259,2,32.0,32.0,1,
176,NL4LP_261,261,2,214.0,214.0,1,
177,NL4LP_267,267,2,19.0,19.0,1,
